entry_time,direction,pnl,classification,candidate_entry_time,candidate_direction,candidate_pnl,source_exit_time,candidate_exit_time,source_entry_price,candidate_entry_price,source_exit_price,candidate_exit_price,source_exit_reason,candidate_exit_reason,entry_bar_delta,note
2023-01-04T00:15:00,short,37.0,near_match_entry_shift,2023-01-04T00:00:00,short,114.5,2023-01-04T05:00:00,2023-01-04T05:00:00,10956.25,10995.0,10937.75,10937.75,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2023-01-19T20:15:00,short,-18.5,near_match_price_diff,2023-01-19T19:45:00,short,1.5,2023-01-19T23:30:00,2023-01-19T23:30:00,11398.25,11408.25,11407.5,11407.5,short_exit_opposite_10,opposite_10,-2,same_side_trade_within_5_bars_but_price_diff
2023-01-26T00:15:00,short,-159.0,near_match_entry_shift,2023-01-26T00:00:00,short,-154.0,2023-01-26T01:15:00,2023-01-26T01:15:00,11621.75,11624.25,11701.25,11701.25,short_atr_stop,atr_stop,-1,same_side_trade_within_1_bar
2023-02-16T23:00:00,short,-111.0,near_match_entry_shift,2023-02-16T22:45:00,short,-84.5,2023-02-17T00:30:00,2023-02-17T00:45:00,12559.0,12587.25,12614.5,12629.5,short_atr_stop,atr_stop,-1,same_side_trade_within_1_bar
2023-02-21T10:15:00,short,-30.0,near_match_price_diff,2023-02-21T09:15:00,short,462.0,2023-02-21T11:45:00,2023-02-22T10:30:00,12336.75,12360.0,12351.75,12129.0,short_atr_stop,opposite_10,-4,same_side_trade_within_5_bars_but_price_diff
2023-02-21T18:00:00,short,-44.5,no_near_match,,,,2023-02-21T18:30:00,,12233.75,,12256.0,,short_atr_stop,,,no_same_side_trade_within_5_bars
2023-02-22T00:15:00,short,125.0,no_near_match,,,,2023-02-22T10:30:00,,12191.5,,12129.0,,short_exit_opposite_10,,,no_same_side_trade_within_5_bars
2023-03-01T20:00:00,long,-72.5,no_near_match,,,,2023-03-01T22:15:00,,12133.0,,12096.75,,long_atr_stop,,,no_same_side_trade_within_5_bars
2023-03-15T20:00:00,short,5.0,near_match_entry_shift,2023-03-15T19:45:00,short,-190.0,2023-03-15T21:45:00,2023-03-15T22:45:00,12135.25,12170.0,12132.75,12265.0,short_atr_stop,atr_stop,-1,same_side_trade_within_1_bar
2023-03-29T22:45:00,long,-64.5,near_match_entry_shift,2023-03-29T22:30:00,long,-52.5,2023-03-29T23:45:00,2023-03-30T00:00:00,12909.5,12887.25,12877.25,12861.0,long_atr_stop,atr_stop,-1,same_side_trade_within_1_bar
2023-04-18T00:45:00,short,-65.0,near_match_price_diff,2023-04-17T23:45:00,short,-14.5,2023-04-18T03:45:00,2023-04-18T03:45:00,13097.25,13122.5,13129.75,13129.75,short_exit_opposite_10,opposite_10,-4,same_side_trade_within_5_bars_but_price_diff
2023-05-08T22:45:00,short,-50.5,near_match_price_diff,2023-05-08T21:45:00,short,-50.5,2023-05-09T00:15:00,2023-05-09T01:00:00,13276.5,13296.0,13301.75,13321.25,short_atr_stop,atr_stop,-4,same_side_trade_within_5_bars_but_price_diff
2023-06-22T00:00:00,short,-70.0,near_match_entry_shift,2023-06-21T23:45:00,short,-42.5,2023-06-22T03:00:00,2023-06-22T03:00:00,15057.5,15071.25,15092.5,15092.5,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2023-08-25T04:45:00,short,74.0,near_match_price_diff,2023-08-25T03:45:00,short,172.5,2023-08-25T15:00:00,2023-08-25T15:00:00,14890.5,14939.75,14853.5,14853.5,short_exit_opposite_10,opposite_10,-4,same_side_trade_within_5_bars_but_price_diff
2023-09-07T00:00:00,short,-46.0,near_match_price_diff,2023-09-06T23:15:00,short,-11.5,2023-09-07T05:00:00,2023-09-07T05:00:00,15375.25,15392.5,15398.25,15398.25,short_exit_opposite_10,opposite_10,-3,same_side_trade_within_5_bars_but_price_diff
2023-09-30T02:15:00,short,-48.5,near_match_entry_shift,2023-09-30T02:00:00,short,-128.0,2023-09-30T05:00:00,2023-10-02T07:15:00,14843.25,14896.25,14867.5,14960.25,short_atr_stop,atr_stop,-1,same_side_trade_within_1_bar
2023-10-03T23:30:00,short,205.5,near_match_entry_shift,2023-10-03T23:15:00,short,283.0,2023-10-04T17:30:00,2023-10-04T17:30:00,14777.25,14816.0,14674.5,14674.5,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2023-10-06T14:45:00,short,-41.0,possible_entry_hour_block,,,,2023-10-06T16:15:00,,14844.25,,14864.75,,short_atr_stop,,,next_bar_hour_in_blocked_entry_hours
2023-10-17T22:00:00,short,-85.0,near_match_entry_shift,2023-10-17T21:45:00,short,-58.5,2023-10-17T23:45:00,2023-10-18T00:30:00,15166.25,15202.0,15208.75,15231.25,short_atr_stop,atr_stop,-1,same_side_trade_within_1_bar
2023-11-02T08:15:00,long,30.5,near_match_entry_shift,2023-11-02T08:30:00,long,22.5,2023-11-02T15:15:00,2023-11-02T15:15:00,14779.5,14783.5,14794.75,14794.75,long_exit_opposite_10,opposite_10,1,same_side_trade_within_1_bar
2023-12-04T23:00:00,short,70.0,near_match_entry_shift,2023-12-04T22:45:00,short,95.5,2023-12-05T06:00:00,2023-12-05T06:00:00,15906.25,15919.0,15871.25,15871.25,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2024-01-02T20:45:00,short,301.5,near_match_entry_shift,2024-01-02T20:30:00,short,329.0,2024-01-03T15:30:00,2024-01-03T15:30:00,16864.0,16877.75,16713.25,16713.25,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2024-01-10T01:30:00,long,83.0,near_match_entry_shift,2024-01-10T01:15:00,long,119.5,2024-01-10T14:30:00,2024-01-10T14:30:00,16780.0,16761.75,16821.5,16821.5,long_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2024-01-31T08:15:00,short,-7.0,near_match_entry_shift,2024-01-31T08:00:00,short,-46.0,2024-01-31T13:45:00,2024-01-31T13:45:00,17447.0,17427.5,17450.5,17450.5,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2024-02-07T00:15:00,short,-10.5,near_match_entry_shift,2024-02-07T00:00:00,short,37.0,2024-02-07T05:00:00,2024-02-07T05:00:00,17630.5,17654.25,17635.75,17635.75,short_exit_opposite_10,opposite_10,-1,same_side_trade_within_1_bar
2024-02-13T23:15:00,short,-222.0,near_match_price_diff,2024-02-13T22:45:00,short,-123.0,2024-02-14T00:30:00,2024-02-14T00:30:00,17631.0,17680.5,17742.0,17742.0,short_atr_stop,atr_stop,-2,same_side_trade_within_5_bars_but_price_diff
2024-02-16T00:00:00,short,-4.5,near_match_entry_shift,2024-02-15T23:45:00,short,-61.5,2024-02-16T00:30:00,2024-02-16T02:45:00,17817.0,17846.25,17819.25,17877.0,short_atr_stop,opposite_10,-1,same_side_trade_within_1_bar
2024-02-19T23:45:00,long,-40.5,near_match_entry_shift,2024-02-19T23:30:00,long,-50.5,2024-02-20T01:15:00,2024-02-20T08:15:00,17797.0,17789.25,17776.75,17764.0,long_atr_stop,atr_stop,-1,same_side_trade_within_1_bar
2024-03-06T03:45:00,short,-164.5,no_near_match,,,,2024-03-06T06:15:00,,17882.75,,17965.0,,short_atr_stop,,,no_same_side_trade_within_5_bars
2024-03-09T03:45:00,short,-287.0,near_match_price_diff,2024-03-09T03:00:00,short,50.0,2024-03-09T04:45:00,2024-03-11T16:15:00,18028.0,18065.0,18171.5,18040.0,short_atr_stop,opposite_10,-3,same_side_trade_within_5_bars_but_price_diff
2024-03-11T07:15:00,short,-80.5,no_near_match,,,,2024-03-11T16:15:00,,17999.75,,18040.0,,short_exit_opposite_10,,,no_same_side_trade_within_5_bars
